Conference,Team Name,Net Rating Rank,Seed,Region,Post-Season Tournament,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank
Big East Conference,UConn,1,1,East,March Madness,122.7,1,97.6,27
Big 12 Conference,Houston,2,1,South,March Madness,113.1,34,88.3,1
Big Ten Conference (Big 10),Purdue,3,1,Midwest,March Madness,119.5,4,100.7,71
Southeastern Conference (SEC),Auburn,4,4,East,March Madness,117.4,14,95.8,7
Big 12 Conference,Iowa State,5,2,East,March Madness,110.4,74,89.9,2
Pac-12 Conference,Arizona,6,2,West,March Madness,117.7,10,96.9,17
Southeastern Conference (SEC),Tennessee,7,2,Midwest,March Madness,112.5,43,96,8
Atlantic Coast Conference (ACC),Duke,8,4,South,March Madness,118.2,7,99.5,41
Atlantic Coast Conference (ACC),North Carolina,9,1,West,March Madness,113.5,31,97.8,28
Big Ten Conference (Big 10),Illinois,10,3,East,March Madness,118.9,6,104.1,151
Big East Conference,Creighton,11,3,Midwest,March Madness,116.4,18,100.6,68
Big East Conference,Marquette,12,2,South,March Madness,112.4,45,100.6,67
Southeastern Conference (SEC),Alabama,13,4,West,March Madness,121.7,2,108,254
Big 12 Conference,Baylor,14,3,West,March Madness,117.3,15,104.2,157
West Coast Conference (WCC),Gonzaga,15,5,Midwest,March Madness,119.8,3,99.6,46
Big 12 Conference,BYU,16,6,East,March Madness,116.9,16,99.9,53
Big Ten Conference (Big 10),Wisconsin,17,5,South,March Madness,113.1,33,104.7,176
Big Ten Conference (Big 10),Michigan State,18,9,West,March Madness,109.5,93,99.4,36
Southeastern Conference (SEC),Kentucky,19,3,South,March Madness,119.2,5,106.1,211
West Coast Conference (WCC),Saint Marys,20,5,West,March Madness,114.9,21,93.6,3
Mountain West Conference (MW),San Diego State,21,5,East,March Madness,108.7,109,98.4,31
Big 12 Conference,Kansas,22,4,Midwest,March Madness,107.3,134,99.2,35
Mountain West Conference (MW),New Mexico,23,11,West,March Madness,112.6,41,98.2,29
Pac-12 Conference,Colorado,24,10,South,March Madness,113.5,30,101.9,93
Big East Conference,St. Johns,24,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,113.4,32,103.5,137
Big 12 Conference,Texas Tech,24,6,South,March Madness,112,51,102.6,110
Big 12 Conference,Texas,27,7,Midwest,March Madness,111.9,52,102.3,104
Southeastern Conference (SEC),Florida,28,7,South,March Madness,114.6,22,105.6,198
Big Ten Conference (Big 10),Nebraska,28,8,South,March Madness,111,63,100.3,60
Southeastern Conference (SEC),Mississippi State,30,8,West,March Madness,108.1,118,100,55
Atlantic Coast Conference (ACC),Wake Forest,31,1,NIT 2,NIT,113,36,101.7,89
Atlantic 10 Conference (A-10),Dayton,32,7,West,March Madness,115.1,20,102.2,102
Big 12 Conference,TCU,32,9,Midwest,March Madness,110.1,83,99.7,48
Atlantic Coast Conference (ACC),Clemson,34,6,West,March Madness,113.6,29,104.8,178
Big East Conference,Villanova,35,1,NIT 4,NIT,107.4,130,99.5,42
Big 12 Conference,Cincinnati,36,2,NIT 3,NIT,107.9,120,98.5,33
Mountain West Conference (MW),Nevada,36,10,West,March Madness,112.9,37,100.1,57
Mountain West Conference (MW),Colorado State,38,10,Midwest,March Madness,112.1,50,103.1,124
Mountain West Conference (MW),Boise State,39,10,South,March Madness,111.1,60,100.8,73
Atlantic Coast Conference (ACC),Pittsburgh,39,Not In a Post-Season Tournament,Not In a Post-Season Tournament,Not In a Post-Season Tournament,112.8,39,101.4,83
American Athletic Conference (AAC),Florida Atlantic,41,8,East,March Madness,117.4,13,104,150
Pac-12 Conference,Washington State,42,7,East,March Madness,110.7,71,99.5,40
